,date,method,class_1,class_2,class_3,class_4
164,8/20/2020,Hist Prev (4),0,339,139,7
165,8/20/2020,Individual,0,0,0,1360
166,8/20/2020,PET (20),114,112,197,8
167,8/20/2020,PET (4),114,260,118,9
168,8/20/2020,tOPS,0,127,246,8
169,8/21/2020,Fixed (20),0,60,360,17
170,8/21/2020,Fixed (4),0,296,100,18
171,8/21/2020,Hist Prev (20),0,109,216,18
172,8/21/2020,Hist Prev (4),0,296,100,18
173,8/21/2020,Individual,0,0,0,1200
174,8/21/2020,PET (20),100,103,145,18
175,8/21/2020,PET (4),100,220,93,18
176,8/21/2020,tOPS,0,122,192,18
177,8/22/2020,Fixed (20),0,48,443,26
178,8/22/2020,Fixed (4),0,234,139,26
179,8/22/2020,Hist Prev (20),0,75,347,26
180,8/22/2020,Hist Prev (4),0,234,139,26
181,8/22/2020,Individual,0,0,0,960
182,8/22/2020,PET (20),79,95,149,57
183,8/22/2020,PET (4),79,166,106,57
184,8/22/2020,tOPS,0,81,253,69
185,8/23/2020,Fixed (20),0,34,20,18
186,8/23/2020,Fixed (4),0,166,4,18
187,8/23/2020,Hist Prev (20),0,51,13,18
188,8/23/2020,Hist Prev (4),0,166,4,18
189,8/23/2020,Individual,0,0,0,680
190,8/23/2020,PET (20),56,24,20,18
191,8/23/2020,PET (4),56,123,4,18
192,8/23/2020,tOPS,0,34,20,18
193,8/24/2020,Fixed (20),0,14,120,40
194,8/24/2020,Fixed (4),0,70,28,40
195,8/24/2020,Hist Prev (20),0,20,84,40
196,8/24/2020,Hist Prev (4),0,70,28,40
197,8/24/2020,Individual,0,0,0,320
198,8/24/2020,PET (20),24,29,41,40
199,8/24/2020,PET (4),24,52,26,40
200,8/24/2020,tOPS,0,35,56,40
201,8/25/2020,Fixed (20),0,27,352,5
202,8/25/2020,Fixed (4),0,129,136,5
203,8/25/2020,Hist Prev (20),0,69,232,5
204,8/25/2020,Hist Prev (4),0,129,136,5
205,8/25/2020,Individual,0,0,0,520
206,8/25/2020,PET (20),44,86,135,5
207,8/25/2020,PET (4),44,104,123,5
208,8/25/2020,tOPS,0,98,161,5
